title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_3(130),-0.973,-0.826,-0.864,-0.781,-0.823,0
no_act/19A_noactivity_3(131),-0.986,-0.918,-0.891,-0.884,-0.858,0
no_act/19A_noactivity_3(132),-0.981,-0.825,-0.85,-0.778,-0.815,0
no_act/19A_noactivity_3(133),-0.961,-0.824,-0.832,-0.776,-0.825,0
no_act/19A_noactivity_3(134),-0.833,-0.961,-0.807,-0.799,-0.806,0
no_act/19A_noactivity_3(135),-0.831,-0.948,-0.792,-0.799,-0.812,0
no_act/19A_noactivity_3(136),-0.97,-0.825,-0.776,-0.838,-0.789,0
no_act/19A_noactivity_3(137),-0.861,-0.891,-0.776,-0.82,-0.807,0
no_act/19A_noactivity_3(138),-0.859,-0.882,-0.779,-0.793,-0.804,0
no_act/19A_noactivity_3(139),-0.864,-0.863,-0.81,-0.807,-0.839,0
no_act/19A_noactivity_3(140),-0.966,-0.824,-0.799,-0.855,-0.818,0
no_act/19A_noactivity_3(141),-0.95,-0.839,-0.804,-0.865,-0.804,0
no_act/19A_noactivity_3(142),-0.986,-0.915,-0.897,-0.882,-0.891,0
no_act/19A_noactivity_3(143),-0.972,-0.818,-0.849,-0.831,-0.809,0
no_act/19A_noactivity_3(144),-0.957,-0.824,-0.838,-0.883,-0.794,0
